id,start_clip_ms,end_clip_ms,desc,characters
0,3492,5078
0,3492,15255
1,1074,1324
1,2599,2864
1,3991,5577
1,18295,18632
1,25805,26055
2,949,1241
2,3076,3326
2,5078,5370
2,6159,6492
2,10208,10541
2,14543,14543
2,31155,31436
2,33064,33318
2,34107,34395
2,35358,35650
2,36316,36567
2,37694,37986
2,38945,39196
2,40739,41114
2,42199,42512
2,45660,46283
2,48997,49372
2,51414,42511
2,34146,34649
2,26099,26349
2,31020,31309
3,945,1241
3,2416,2699
3,5574,5828
3,15256,15839
3,16644,16924
3,17198,17462
3,17841,18133
3,18466,18799
3,19134,19134
4,2250,42000
5,42000,42000
6,42000,42000
7,4367,4619
